Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14006_001
"36047010100","14000US36047010100","Census Tract 101, Kings County, New York","Census Tract 101, Kings County, New York","ny","140","00","ACSSF","0004560",,,,,"36","047",,,,"010100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64612
"36047010200","14000US36047010200","Census Tract 102, Kings County, New York","Census Tract 102, Kings County, New York","ny","140","00","ACSSF","0004561",,,,,"36","047",,,,"010200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53550
"36047010400","14000US36047010400","Census Tract 104, Kings County, New York","Census Tract 104, Kings County, New York","ny","140","00","ACSSF","0004562",,,,,"36","047",,,,"010400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42697
"36047010600","14000US36047010600","Census Tract 106, Kings County, New York","Census Tract 106, Kings County, New York","ny","140","00","ACSSF","0004563",,,,,"36","047",,,,"010600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41047
"36047010800","14000US36047010800","Census Tract 108, Kings County, New York","Census Tract 108, Kings County, New York","ny","140","00","ACSSF","0004564",,,,,"36","047",,,,"010800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38042
"36047011000","14000US36047011000","Census Tract 110, Kings County, New York","Census Tract 110, Kings County, New York","ny","140","00","ACSSF","0004565",,,,,"36","047",,,,"011000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55625
"36047011200","14000US36047011200","Census Tract 112, Kings County, New York","Census Tract 112, Kings County, New York","ny","140","00","ACSSF","0004566",,,,,"36","047",,,,"011200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30662
"36047011400","14000US36047011400","Census Tract 114, Kings County, New York","Census Tract 114, Kings County, New York","ny","140","00","ACSSF","0004567",,,,,"36","047",,,,"011400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43965
"36047011600","14000US36047011600","Census Tract 116, Kings County, New York","Census Tract 116, Kings County, New York","ny","140","00","ACSSF","0004568",,,,,"36","047",,,,"011600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000
"36047011700","14000US36047011700","Census Tract 117, Kings County, New York","Census Tract 117, Kings County, New York","ny","140","00","ACSSF","0004569",,,,,"36","047",,,,"011700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91307
